ons_code,name,cls,imd_avg_score,imd_rank_in_class,class_n,settlement_real_ph_2013-14,settlement_real_ph_2024-25,loss_ph,change_pct,clean,league_excluded,handcheck
E08000029,Solihull,MD,17.37,35,36,456.24,294.89,161.35,-35.36,False,False,rsg_zero_2024_check_rollin
E08000009,Trafford,MD,16.09,36,36,473.76,332.43,141.33,-29.83,False,False,rsg_zero_2024_check_rollin
E10000013,Gloucestershire CC,SC,14.93,14,21,373.29,58.14,315.16,-84.43,False,False,cliff_after_2018_one_year_check
E10000020,Norfolk CC,SC,21.18,2,21,532.87,227.2,305.67,-57.36,True,False,
E10000017,Lancashire CC,SC,23.44,1,21,482.4,228.76,253.63,-52.58,True,False,
E10000008,Devon CC,SC,16.61,11,21,407.78,169.24,238.54,-58.5,True,False,
E10000019,Lincolnshire CC,SC,20.29,3,21,463.39,229.9,233.48,-50.39,True,False,
E10000011,East Sussex CC,SC,19.77,4,21,421.0,189.35,231.65,-55.02,True,False,
E10000024,Nottinghamshire CC,SC,19.0,6,21,412.08,183.75,228.34,-55.41,True,False,
E10000007,Derbyshire CC,SC,18.39,8,21,435.41,210.8,224.61,-51.59,True,False,
E10000028,Staffordshire CC,SC,16.57,12,21,356.27,142.05,214.22,-60.13,True,False,
E10000029,Suffolk CC,SC,18.46,7,21,421.54,216.74,204.8,-48.58,True,False,
E10000016,Kent CC,SC,19.54,5,21,377.64,174.42,203.22,-53.81,True,False,
E10000012,Essex CC,SC,17.02,10,21,373.34,171.42,201.92,-54.08,True,False,
E10000031,Warwickshire CC,SC,15.64,13,21,351.08,150.19,200.89,-57.22,True,False,
E10000034,Worcestershire CC,SC,18.09,9,21,332.26,138.87,193.39,-58.21,True,False,
E10000015,Hertfordshire CC,SC,12.73,17,21,326.44,141.59,184.86,-56.63,True,False,
E10000030,Surrey CC,SC,10.09,21,21,300.73,123.8,176.93,-58.83,True,False,
E10000003,Cambridgeshire CC,SC,13.86,16,21,312.05,135.31,176.74,-56.64,True,False,
E10000032,West Sussex CC,SC,14.43,15,21,288.8,121.99,166.81,-57.76,True,False,
