year,cls,service,n,p10,p25,median,p75,p90
2024-25,LB,planning_development,32,8.36,15.86,20.50,39.14,62.13
2024-25,LB,police,32,0.00,0.00,0.00,0.00,0.00
2024-25,LB,public_health,32,53.77,57.48,77.89,112.07,156.58
2024-25,LB,recycling,32,0.00,0.23,8.41,20.08,38.85
2024-25,LB,refuse_and_recycling,32,21.99,24.85,30.50,41.17,55.28
2024-25,LB,street_cleansing,32,15.12,17.81,24.44,38.80,56.57
2024-25,LB,total_service_expenditure,32,1630.21,1879.43,2031.18,2432.71,2673.09
2024-25,LB,waste_collection,32,8.54,16.40,22.44,30.04,33.89
2024-25,LB,waste_disposal,32,0.00,0.00,3.37,30.75,37.59
2024-25,MD,adult_social_care,36,392.17,409.04,439.92,489.78,518.65
2024-25,MD,central,36,37.08,53.82,64.47,89.08,96.45
2024-25,MD,children_social_care,36,255.23,281.93,313.94,343.06,380.32
2024-25,MD,cultural,36,30.77,37.14,49.61,61.62,69.88
2024-25,MD,development_control,36,0.01,0.89,2.75,3.84,5.56
2024-25,MD,education,36,567.89,705.51,848.49,944.23,1041.47
2024-25,MD,environmental_regulatory,36,49.25,59.68,84.73,104.95,111.11
2024-25,MD,fire_rescue,36,0.00,0.00,0.00,0.00,0.00
2024-25,MD,highways_transport,36,14.49,19.98,31.88,39.76,55.05
2024-25,MD,housing_gfra,36,13.74,24.17,33.04,43.89,53.35
2024-25,MD,libraries,36,7.45,9.28,11.96,14.67,18.72
2024-25,MD,other,36,-0.65,0.00,0.00,0.39,4.90
2024-25,MD,planning_development,36,12.64,19.63,30.93,39.88,49.27
2024-25,MD,police,36,0.00,0.00,0.00,0.00,0.00
2024-25,MD,public_health,36,69.11,75.18,87.25,101.21,106.82
2024-25,MD,recycling,36,0.00,5.71,15.18,20.43,23.09
2024-25,MD,refuse_and_recycling,36,23.50,28.12,30.64,35.54,39.80
2024-25,MD,street_cleansing,36,7.56,11.65,13.24,17.36,21.30
2024-25,MD,total_service_expenditure,36,1704.83,1790.68,1943.71,2128.76,2186.88
2024-25,MD,waste_collection,36,8.37,13.29,16.30,24.00,27.72
2024-25,MD,waste_disposal,36,0.00,0.19,25.55,36.45,48.14
