service,service_label,ons_code,name,cls,cls_label,real_per_head_2013_14,real_per_head_2024_25,change_pct
children_social_care,Children's social care,E09000004,Bexley,LB,London borough,184.28,248.19,34.7
children_social_care,Children's social care,E08000028,Sandwell,MD,Met district,223.68,303.84,35.8
children_social_care,Children's social care,E06000027,Torbay UA,UA,Unitary,291.34,396.72,36.2
children_social_care,Children's social care,E09000017,Hillingdon,LB,London borough,162.78,221.73,36.2
children_social_care,Children's social care,E09000003,Barnet,LB,London borough,181.52,247.79,36.5
children_social_care,Children's social care,E08000035,Leeds,MD,Met district,222.07,304.5,37.1
children_social_care,Children's social care,E08000026,Coventry,MD,Met district,241.62,332.87,37.8
children_social_care,Children's social care,E06000045,Southampton UA,UA,Unitary,201.18,278.75,38.6
children_social_care,Children's social care,E06000038,Reading UA,UA,Unitary,248.64,345.11,38.8
children_social_care,Children's social care,E06000052,Cornwall UA,UA,Unitary,152.19,211.72,39.1
children_social_care,Children's social care,E09000010,Enfield,LB,London borough,182.01,253.94,39.5
children_social_care,Children's social care,E06000049,Cheshire East UA,UA,Unitary,152.98,214.34,40.1
children_social_care,Children's social care,E06000046,Isle of Wight UA,UA,Unitary,212.08,298.36,40.7
children_social_care,Children's social care,E09000005,Brent,LB,London borough,174.76,248.75,42.3
children_social_care,Children's social care,E09000021,Kingston Upon Thames,LB,London borough,175.74,250.58,42.6
children_social_care,Children's social care,E06000032,Luton UA,UA,Unitary,205.79,295.21,43.5
children_social_care,Children's social care,E08000023,South Tyneside,MD,Met district,258.31,373.33,44.5
children_social_care,Children's social care,E09000024,Merton,LB,London borough,160.71,232.95,44.9
children_social_care,Children's social care,E06000016,Leicester City UA,UA,Unitary,184.79,268.07,45.1
children_social_care,Children's social care,E09000020,Kensington & Chelsea,LB,London borough,235.0,341.27,45.2
children_social_care,Children's social care,E06000037,West Berkshire UA,UA,Unitary,153.7,225.0,46.4
children_social_care,Children's social care,E09000007,Camden,LB,London borough,281.61,418.06,48.5
children_social_care,Children's social care,E10000020,Norfolk CC,SC,Shire county,157.28,237.75,51.2
children_social_care,Children's social care,E10000024,Nottinghamshire CC,SC,Shire county,165.11,250.96,52.0
children_social_care,Children's social care,E08000036,Wakefield,MD,Met district,174.24,265.66,52.5
children_social_care,Children's social care,E06000042,Milton Keynes UA,UA,Unitary,172.97,264.3,52.8
children_social_care,Children's social care,E10000030,Surrey CC,SC,Shire county,132.14,202.17,53.0
children_social_care,Children's social care,E09000023,Lewisham,LB,London borough,260.74,399.48,53.2
children_social_care,Children's social care,E08000018,Rotherham,MD,Met district,213.61,327.62,53.4
children_social_care,Children's social care,E10000017,Lancashire CC,SC,Shire county,146.9,225.53,53.5
children_social_care,Children's social care,E10000029,Suffolk CC,SC,Shire county,121.0,185.68,53.5
children_social_care,Children's social care,E09000026,Redbridge,LB,London borough,144.13,223.1,54.8
children_social_care,Children's social care,E06000005,Darlington UA,UA,Unitary,221.38,350.91,58.5
children_social_care,Children's social care,E10000019,Lincolnshire CC,SC,Shire county,117.06,186.04,58.9
children_social_care,Children's social care,E06000015,Derby City UA,UA,Unitary,211.35,336.3,59.1
children_social_care,Children's social care,E06000057,Northumberland UA,UA,Unitary,149.35,238.18,59.5
children_social_care,Children's social care,E06000050,Cheshire West and Chester UA,UA,Unitary,159.98,255.94,60.0
children_social_care,Children's social care,E06000040,Windsor & Maidenhead UA,UA,Unitary,126.74,205.49,62.1
children_social_care,Children's social care,E10000031,Warwickshire CC,SC,Shire county,145.71,237.2,62.8
children_social_care,Children's social care,E08000015,Wirral,MD,Met district,197.92,322.6,63.0
children_social_care,Children's social care,E08000009,Trafford,MD,Met district,143.15,233.36,63.0
children_social_care,Children's social care,E06000041,Wokingham UA,UA,Unitary,122.59,200.17,63.3
children_social_care,Children's social care,E06000004,Stockton-on-Tees UA,UA,Unitary,213.48,351.28,64.6
children_social_care,Children's social care,E08000019,Sheffield,MD,Met district,162.25,270.09,66.5
children_social_care,Children's social care,E08000037,Gateshead,MD,Met district,205.72,342.87,66.7
children_social_care,Children's social care,E10000028,Staffordshire CC,SC,Shire county,146.51,244.98,67.2
children_social_care,Children's social care,E10000008,Devon CC,SC,Shire county,148.36,249.28,68.0
children_social_care,Children's social care,E06000017,Rutland UA,UA,Unitary,128.03,215.5,68.3
children_social_care,Children's social care,E06000044,Portsmouth UA,UA,Unitary,184.95,312.53,69.0
children_social_care,Children's social care,E08000024,Sunderland,MD,Met district,184.04,311.61,69.3
children_social_care,Children's social care,E09000016,Havering,LB,London borough,150.14,254.36,69.4
children_social_care,Children's social care,E08000002,Bury MBC,MD,Met district,168.78,288.83,71.1
children_social_care,Children's social care,E08000033,Calderdale,MD,Met district,183.53,316.7,72.6
children_social_care,Children's social care,E06000026,Plymouth UA,UA,Unitary,196.74,340.94,73.3
children_social_care,Children's social care,E06000002,Middlesbrough UA,UA,Unitary,285.97,496.16,73.5
children_social_care,Children's social care,E06000035,Medway Towns UA,UA,Unitary,184.26,321.05,74.2
