firm,supplier_raw,category,scope,txns,gbp
PwC,Ã–hrlings PricewaterhouseCoopers AB,consulting,overseas_member,2,43486.59
KPMG,KPMG Advisory Services Private Limited,consulting,uk,3,40793.88
Deloitte,DELOITTE TOUCHE FINANCIAL ADVISORY SERVICES LIMITED,consulting,uk,1,40000.0
Deloitte,PT DELOITTE ADVIS INDONESIA,consulting,overseas_member,1,39988.56
KPMG,KPMG Sierra Leone,consulting,overseas_member,1,39263.06
KPMG,KPMG ADVISORY CHINA LIMITED,consulting,overseas_member,1,39102.42
Reed,Reed Specialist Recruitment,agency_staff,uk,1,38985.86
EY,Ernst & Young Ford Rhodes,consulting,overseas_member,5,38847.86
EY,Ernst & Young (Local),consulting,uk,1,37465.53
EY,ERNST YOUNG,consulting,uk,1,37148.0
PwC,PWC POLAND,consulting,overseas_member,1,36143.28
Deloitte,Deloitte Malawi Advisory Services,consulting,overseas_member,2,35900.39
PwC,PWC UK,consulting,uk,3,35551.76
KPMG,KPMG FAS CO LTD,consulting,overseas_member,1,35459.98
EY,EY Ford Rhodes,consulting,overseas_member,6,35360.0
Hays,Hays Accountancy,agency_staff,uk,1,34801.67
Deloitte,Deloitte Touche LLP,consulting,uk,1,34740.0
KPMG,KPMG (Regstd.),consulting,uk,8,34579.1
Reed,Reed in Partnership Skills (UK) Ltd,welfare_to_work,uk,1,34436.0
PwC,PriceWaterhouseCoopers Afrique,consulting,overseas_member,1,33204.24
Michael Page,Michael Page International,agency_staff,uk,32,32836.0
Hays,Hays Accountancy Personnel,agency_staff,uk,47,32310.86
Michael Page,Michael Page Ltd,agency_staff,uk,1,32300.4
Gartner,Gartner U.K. Limited,consulting,uk,1,31800.0
PwC,PRICE WATERHOUSE COOPERS DOO BEOGRAD,consulting,overseas_member,1,31407.63
KPMG,KPMG ADVISORY SERVICES PVT LTD,consulting,uk,1,30000.0
Deloitte,Deloitte & Touche LLP,consulting,uk,1,29375.0
PA Consulting,PA Consulting Services Ltd (UK1),consulting,uk,1,29217.5
McKinsey,McKinsey & Company,consulting,uk,1,28500.0
PwC,PRICEWATERHOUSECOOPERS LLP (PWC),consulting,uk,2,28370.4
PwC,PRICEWATERHOUSECOOPERS CONSULTORES AUDITORES Y COMPANIA LIMITADA,consulting,overseas_member,1,28195.98
KPMG,KPMG Services (PTY) Limited,consulting,overseas_member,2,28132.8
PwC,PricewaterhouseCoopers (Tanzania) Limited,consulting,overseas_member,1,27843.73
Michael Page,MICHAEL PAGE INTERNATIONAL RECRUIT. LTD,agency_staff,uk,1,27300.0
KPMG,KPMG ADVISORY SERVICES,consulting,uk,1,26534.47
PwC,PriceWaterhouseCooper,consulting,uk,1,26150.0
Deloitte,Drivers Jonas Deloitte LLP,consulting,uk,1,26050.26
Michael Page,Michael Page International Recruitme,agency_staff,uk,1,25773.25
PwC,PricewaterhouseCoopers Ltd,consulting,uk,1,25267.73
McKinsey,Mckinsey & Company,consulting,uk,1,25000.0
Deloitte,DELOITTE  LLP,consulting,uk,4,23757.91
EY,Ernst & Young Zambia (ZMW),consulting,overseas_member,1,23510.44
Deloitte,DRIVERS JONAS (DELOITTE LLP),consulting,uk,13,23206.88
EY,ERNST  & YOUNG Limitada,consulting,overseas_member,4,22422.63
Hays,HAYS HEALTHCARE LIMITED,agency_staff,uk,1,22037.2
Hays,HAYS PERSONNEL SERVICE,agency_staff,uk,14,21281.81
Hays,HAYS INFORMATATION TECHNOLOGY,agency_staff,uk,13,20586.91
KPMG,KPMG Advisory Services Pvt Ltd ( India),consulting,overseas_member,5,20585.27
EY,Ernst & Young Vietnam Ltd,consulting,overseas_member,1,20123.15
Deloitte,Deloitte Yousuf Adil  Chartered Accountants,consulting,overseas_member,7,19984.11
PwC,PricewaterhouseCoopers Rwanda Limited,consulting,overseas_member,3,19669.63
Deloitte,Deloitte Malawi,consulting,overseas_member,3,19023.09
PwC,Price Waterhouse Chartered Accountants LLP,consulting,uk,1,18950.0
Deloitte,Deloitte & Touche (Mocambique)  Lda,consulting,overseas_member,4,18806.46
KPMG,KPMG Limited,consulting,uk,1,18394.09
KPMG,KPMG Malawi,consulting,overseas_member,1,17619.05
