firm,supplier_raw,txns,gbp,n_publishers,publishers
KPMG,KPMG Inc.,4,152895.48,1,Department for International Development
KPMG,Poundland Ltd. c/o KPMG Law,1,130000.0,1,HM Revenue and Customs
KPMG,HBOS PLC & Lloyds Bank c/o KPMG LLP,1,125000.0,1,HM Revenue and Customs
KPMG,Delinian Ltd. c/o KPMG Law,1,114400.0,1,HM Revenue and Customs
KPMG,KPMG GHANA LLP,5,106622.71,1,Department for International Development
KPMG,KPMG LLP (CSL),66,101504.3,1,"Ministry of Housing, Communities and Local Government"
KPMG,KPMG LLP FEES,1,100000.0,1,Department for Work and Pensions
KPMG,KPMG.,14,93312.13,1,Department for International Development
KPMG,KPMG Taseer Hadi and Co,11,62436.62,1,Department for International Development
KPMG,KPMG LLP FEES ACCOUNT,2,60031.44,1,HM Revenue and Customs
KPMG,KPMG MANAGEMENT CONSULTING,2,59298.17,1,"Department for Environment, Food and Rural Affairs"
KPMG,KPMG CONSULTING,1,56470.97,1,National Offender Management Service
KPMG,KPMG RDC,2,54810.69,1,"Foreign, Commonwealth and Development Office (FCDO)"
KPMG,KPMG Advisory Services Private Limited,3,40793.88,1,Department for International Development
KPMG,KPMG Sierra Leone,1,39263.06,1,Department for International Development
KPMG,KPMG ADVISORY CHINA LIMITED,1,39102.42,1,Foreign and Commonwealth Office
KPMG,KPMG FAS CO LTD,1,35459.98,1,Foreign and Commonwealth Office
KPMG,KPMG (Regstd.),8,34579.1,1,Department for International Development
KPMG,KPMG ADVISORY SERVICES PVT LTD,1,30000.0,1,Foreign and Commonwealth Office
KPMG,KPMG Services (PTY) Limited,2,28132.8,1,Department for International Development
KPMG,KPMG ADVISORY SERVICES,1,26534.47,1,Foreign and Commonwealth Office
KPMG,KPMG Advisory Services Pvt Ltd ( India),5,20585.27,1,Department for International Development
KPMG,KPMG Limited,1,18394.09,1,Department for International Development
KPMG,KPMG Malawi,1,17619.05,1,Department for International Development
KPMG,KPMG AUDITORES E CONSULTORES,2,14037.66,1,Department for International Development
