bucket,supplier_raw,n_txn,gbp_total,n_publishers,a_publisher
toad_frog,Frog Cables,1,2481.36,1,Department for International Development
toad_frog,Frog Software Training Ltd,23,25734.6,1,Uttlesford District Council
wrestl,G LITTLEWOOD (FIRST CLASS WRESTLING),1,1049.6,1,North Yorkshire Council
giraffe,GIRAFFE,6,97.9,1,Natural History Museum
giraffe,GIRAFFE 1779,1,14.2,1,The National Archives
giraffe,GIRAFFE CONCEPTS,2,344.92,1,Natural History Museum
giraffe,GIRAFFE JUICE BAR,1,15.0,1,Natural History Museum
pest,GLADE PEST CONTROL SER,5,10362.0,1,"Department for Environment, Food and Rural Affairs"
pest,GLADE PEST CONTROL SERVICE,1,1848.0,1,"Department for Environment, Food and Rural Affairs"
pest,GLADE PEST CONTROL SERVICES,2,4032.0,1,"Department for Environment, Food and Rural Affairs"
flag,GLASSFIBRE FLAGPOLES LTD,2,2141.76,1,Royal Borough of Greenwich
dolphin,GLENNYS GLOVER T/A MAINLINE DOLPHIN,49,69755.0,1,Transport for Greater Manchester
circus,GLOUCESTER CIRCUS GARDEN COMMITTEE,6,70075.09,1,Royal Borough of Greenwich
goat,GOAT FASHION LTD,1,700.0,1,UK Trade and Investment
goat,GOAT GUANGZHOU,1,1153.59,1,"Foreign, Commonwealth and Development Office (FCDO)"
blacksmith,GODBOLD BLACKSMITHS LIMITED,18,30596.78,1,North Yorkshire Council
dolphin,GODOLPHIN INFANT SCHOOL,1,25000.0,1,Department for Education
dolphin,GODOLPHIN JUNIOR SCHOOL,7,571422.08,1,Department for Education
toad_frog,GOLDEN FROG PUBLIC RELATIONS LTD,10,13365.63,1,North Yorkshire Council
swan,GOLDEN SWAN INDIAN CUISINE,1,44.52,1,Natural History Museum
sheep,GOOD SHEPHERD CATHOLIC PRIMARY SCHOOL,2,50000.0,1,Department for Education
sheep,GOOD SHEPHERD CATHOLIC SCHOOL,1,25000.0,1,Department for Education
bees,GOOGLE *BUZZY BEE SHOP,1,641.0,1,"Department for Environment, Food and Rural Affairs"
badger,GREEN BADGER,1,960.0,1,Eden District Council
pest,GREEN BUG PEST CONTROL,10,6451.28,1,"Foreign, Commonwealth and Development Office (FCDO)"
santa,GROTTO WOODLANDS,2,40.64,1,"Department for Digital, Culture, Media and Sport"
unicorn,GSPL - UNICORN SHIPPING,1,98000.0,1,HM Revenue and Customs
unicorn,GSPL-Unicorn Shipping,1,102000.0,1,HM Revenue and Customs
ghost,Ghost Hill Infant and Nursery School,43,2096927.76,1,Department for Education
cheese,Giant Cheese Ltd,4,10927.6,1,Rushmoor Borough Council
giraffe,Giraffe,4,101.55,1,Natural History Museum
giraffe,Giraffe Access,1,6660.0,1,Rushmoor Borough Council
