expense_area,n_txn,gbp_total,n_publishers,a_publisher
OPS NET DIG EXPERT DOMAIN,186,129883.98,1,Department for Work and Pensions
OPS NET DIG OMEGA,106,38285.3,1,Department for Work and Pensions
OPS NET DIG OPERATIONAL DIGITAL SERVICES DIRECTOR,67,11542.45,1,Department for Work and Pensions
OPS NET DIG PENSIONS,133,65709.0,1,Department for Work and Pensions
OPS NET DIG PERFORMANCE AND MI,68,91607.61,1,Department for Work and Pensions
OPS NET DIG SIGMA,118,70727.41,1,Department for Work and Pensions
OPS NET DIG UNIVERSAL JOBMATCH CONTRACT,33,9410759.0,1,Department for Work and Pensions
OPS NET DIG WORKING AGE,135,554331.0,1,Department for Work and Pensions
OPS NET NETWORK SERVICES DIRECTOR,237,110272.59,1,Department for Work and Pensions
OPS NON-BASELINE DEL P MANAGEMENT ASSUMPTIONS,23,29463240.78,1,Department for Work and Pensions
OPS OOHS 82394503 A OWEN,18,164.08,1,Department for Work and Pensions
OPS OOHS-00608008,1,222.0,1,Department for Work and Pensions
OPS OOHS-08631510,1,0.0,1,Department for Work and Pensions
OPS OOHS-09415410,2,30.59,1,Department for Work and Pensions
OPS OOHS-10000977-J HEATH,1,49.4,1,Department for Work and Pensions
OPS OOHS-22579406,9,12091.0,1,Department for Work and Pensions
OPS OOHS-28063100,4,848.0,1,Department for Work and Pensions
OPS OOHS-28572210,1,96.0,1,Department for Work and Pensions
OPS OOHS-29481805,1,49.0,1,Department for Work and Pensions
OPS OOHS-29669606,5,575.0,1,Department for Work and Pensions
OPS OOHS-29966006,1,23.0,1,Department for Work and Pensions
OPS OOHS-30380007,1,173.0,1,Department for Work and Pensions
OPS OOHS-31297500,2,21.0,1,Department for Work and Pensions
OPS OOHS-31848700,4,45.35,1,Department for Work and Pensions
OPS OOHS-34122511,5,129.0,1,Department for Work and Pensions
OPS OOHS-34575401,5,414.0,1,Department for Work and Pensions
OPS OOHS-35566811,1,1.0,1,Department for Work and Pensions
OPS OOHS-36551610,9,129.3,1,Department for Work and Pensions
OPS OOHS-37889911,1,23.0,1,Department for Work and Pensions
OPS OOHS-37980310,1,3.0,1,Department for Work and Pensions
OPS OOHS-39533405,1,13.5,1,Department for Work and Pensions
OPS OOHS-39622909,2,89.0,1,Department for Work and Pensions
OPS OOHS-40518707,1,249.0,1,Department for Work and Pensions
OPS OOHS-409924J-K ROBB,1,13.0,1,Department for Work and Pensions
OPS OOHS-41144007,1,5.55,1,Department for Work and Pensions
OPS OOHS-41550809,2,439.0,1,Department for Work and Pensions
OPS OOHS-43014204,2,12.0,1,Department for Work and Pensions
OPS OOHS-51239402,1,3.0,1,Department for Work and Pensions
OPS OOHS-51889807,3,6.0,1,Department for Work and Pensions
OPS OOHS-52026601,2,11.0,1,Department for Work and Pensions
OPS OOHS-53008604,1,4.0,1,Department for Work and Pensions
OPS OOHS-53717509,1,3.0,1,Department for Work and Pensions
OPS OOHS-56742204,1,65.92,1,Department for Work and Pensions
OPS OOHS-57580410,1,75.0,1,Department for Work and Pensions
OPS OOHS-58114808,5,267.0,1,Department for Work and Pensions
OPS OOHS-59489509-M DABBA,1,1.0,1,Department for Work and Pensions
OPS OOHS-59974801,7,139.0,1,Department for Work and Pensions
OPS OOHS-6255210-DP COATES 159590,1,35.0,1,Department for Work and Pensions
OPS OOHS-65773611,1,9.0,1,Department for Work and Pensions
OPS OOHS-70924603,1,1.0,1,Department for Work and Pensions
OPS OOHS-71112502,1,53.0,1,Department for Work and Pensions
OPS OOHS-73482304-P FITZPATRICK,1,4.0,1,Department for Work and Pensions
OPS OOHS-74244006,4,60.0,1,Department for Work and Pensions
OPS OOHS-75029010,1,57.98,1,Department for Work and Pensions
OPS OOHS-75328010,1,3.0,1,Department for Work and Pensions
OPS OOHS-75418102-M LINDSAY,1,58.0,1,Department for Work and Pensions
OPS OOHS-76451210-JA WELLS,1,6.0,1,Department for Work and Pensions
OPS OOHS-76731912,1,5.0,1,Department for Work and Pensions
OPS OOHS-82964811,2,90.0,1,Department for Work and Pensions
OPS OOHS-86766011-FM DOORBAR,1,7.0,1,Department for Work and Pensions
OPS OOHS-97406903,19,572.43,1,Department for Work and Pensions
OPS OOHS-99915204,2,197.0,1,Department for Work and Pensions
OPS OPE BIC EXTENSION,122,30462.0,1,Department for Work and Pensions
OPS OPE BIC ILFORD,277,299836.0,1,Department for Work and Pensions
OPS OPE BIC KILMARNOCK,200,119174.0,1,Department for Work and Pensions
OPS OPE BIC RAMSGATE,185,71064.0,1,Department for Work and Pensions
OPS OPE BUSINESS CONTINUITY AND RESILIENCE DEL A,4,2261.0,1,Department for Work and Pensions
OPS OPE C&I BUSINESS GENERATED CHANGE - IT,237,5452388.3,1,Department for Work and Pensions
OPS OPE C&I BUSINESS GENERATED CHANGE - NON-IT,6,14693.0,1,Department for Work and Pensions
OPS OPE C&I CAPABILITY & LEARNING,286,1573539.0,1,Department for Work and Pensions
OPS OPE C&I CENTRAL,623,413376.78,1,Department for Work and Pensions
OPS OPE C&I CPMO,23,7053.0,1,Department for Work and Pensions
OPS OPE C&I HEAD OF CHANGE & IMPLEMENTATION,575,601380.39,1,Department for Work and Pensions
OPS OPE C&I IT AND OTHER MAINTENANCE,44,643666.0,1,Department for Work and Pensions
OPS OPE C&I IT WINTER FUEL,50,2099269.0,1,Department for Work and Pensions
OPS OPE C&I LONDON & HC,536,330675.64,1,Department for Work and Pensions
OPS OPE C&I MANAGEMENT TRAINEES,330,232725.1,1,Department for Work and Pensions
OPS OPE C&I NATIONAL 1,536,415452.82,1,Department for Work and Pensions
OPS OPE C&I NATIONAL 2,536,404675.55,1,Department for Work and Pensions
OPS OPE C&I NATIONAL 3,609,1193776.32,1,Department for Work and Pensions
OPS OPE C&I NORTH EAST,573,353006.39,1,Department for Work and Pensions
OPS OPE C&I NORTH WEST,585,246332.57,1,Department for Work and Pensions
OPS OPE C&I SCOTLAND,626,496548.47,1,Department for Work and Pensions
OPS OPE C&I SOUTHERN,635,470860.97,1,Department for Work and Pensions
OPS OPE C&I WALES,589,350768.11,1,Department for Work and Pensions
"OPS OPE C&I WORKING AGE, DISABILITY & MIART",3,759.0,1,Department for Work and Pensions
OPS OPE CAPABILITY & LEARNING DESIGN,18,6848.0,1,Department for Work and Pensions
OPS OPE CAPABILITY BUILD,16,9874.0,1,Department for Work and Pensions
OPS OPE CD BUSINESS GENERATED CHANGE NON-IT,13,91761.0,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT CENTRAL,162,72022.0,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT LONDON,122,55716.0,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT NORTH EAST,160,53122.0,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT NORTH WEST,119,35260.0,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT SCOTLAND,179,58049.05,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT SOUTHERN,194,54573.0,1,Department for Work and Pensions
OPS OPE CD CHANGE IMPROVEMENT WALES,148,31324.0,1,Department for Work and Pensions
OPS OPE CD CHANGE PORTFOLIO MANAGER 1,104,36322.0,1,Department for Work and Pensions
OPS OPE CD CHANGE PORTFOLIO MANAGER 2,119,31281.0,1,Department for Work and Pensions
OPS OPE CD CHANGE PORTFOLIO MANAGER 3,122,28457.0,1,Department for Work and Pensions
OPS OPE CD CHANGE PORTFOLIO MANAGER 4,103,37332.0,1,Department for Work and Pensions
OPS OPE CD FEASIBILITY,4,14392.0,1,Department for Work and Pensions
OPS OPE CD HEAD OF CHANGE DELIVERY,75,14591.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER,105,23531.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER CENTRAL,138,49377.8,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER CORPORATE,43,8653.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER LONDON,124,26306.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER NORTH EAST,129,50156.2,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER NORTH WEST,105,23890.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER SCOTLAND,155,64424.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER SOUTHERN,151,55309.0,1,Department for Work and Pensions
OPS OPE CD IMPLEMENTATION MANAGER WALES,106,25563.0,1,Department for Work and Pensions
OPS OPE CD IT REL - FRAIMS,5,359676.0,1,Department for Work and Pensions
OPS OPE CD IT REL - ISCS,3,22443.0,1,Department for Work and Pensions
OPS OPE CD IT REL - JSAPS,3,85225.0,1,Department for Work and Pensions
OPS OPE CD IT REL - LMS,4,1828.0,1,Department for Work and Pensions
OPS OPE CD IT REL - OTHER,21,1098956.0,1,Department for Work and Pensions
OPS OPE CD IT REL - PSCS,5,31296.0,1,Department for Work and Pensions
OPS OPE CD MODEL OFFICE,90,15524.0,1,Department for Work and Pensions
OPS OPE CD PENSIONS ERROR PI,64,6998.0,1,Department for Work and Pensions
OPS OPE CD PMO MANAGER,113,47673.0,1,Department for Work and Pensions
OPS OPE CENTRAL CONTACTS,174,63127958.84,1,Department for Work and Pensions
OPS OPE CENTRAL GROUP,24,22022.0,1,Department for Work and Pensions
OPS OPE CHANGE DESIGN & ANALYSIS,1,46.0,1,Department for Work and Pensions
OPS OPE CHANGE FEASIBILITY,2,80672.0,1,Department for Work and Pensions
OPS OPE CHANGE PORTFOLIO MANAGEMENT OFFICE,16,3371.0,1,Department for Work and Pensions
OPS OPE CHANNELS,10,1464.0,1,Department for Work and Pensions
OPS OPE CHANNELS & CUSTOMER EXPERIENCE,71,48990.0,1,Department for Work and Pensions
OPS OPE CI ACCOUNT MANAGER NETWORK SERVS,65,12177.95,1,Department for Work and Pensions
OPS OPE CI CROSS CUTTING POOL,105,35258.08,1,Department for Work and Pensions
OPS OPE CI ERROR ACCOUNT MANAGER,226,114086.53,1,Department for Work and Pensions
OPS OPE CI HEAD OF CONTINUOUS IMPROVEMENT,53,13711.3,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE CENTRAL,107,21635.05,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE LONDON,61,12782.81,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE NORTH EAST,92,15915.84,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE NORTH WEST,88,14189.46,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE SCOTLAND,104,17187.39,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE SOUTHERN,63,10669.29,1,Department for Work and Pensions
OPS OPE CI LEAN DEVELOPMENT CENTRE WALES,67,8066.61,1,Department for Work and Pensions
OPS OPE CI LEAN HEAD OF PROFESSION,131,62902.37,1,Department for Work and Pensions
OPS OPE CI LEAN PENSIONS AND DISABILITY IMPLEMENT,154,66209.93,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE CENTRAL,122,37497.56,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE LONDON,85,44919.32,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE NORTH EAST,107,32992.37,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE NORTH WEST,85,9418.08,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE SCOTLAND,126,29543.0,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE SOUTHERN,142,37315.13,1,Department for Work and Pensions
OPS OPE CI LOCAL PERFORMANCE IMPROVE WALES,104,20500.76,1,Department for Work and Pensions
OPS OPE CI NATIONAL ACCOUNT MANAGER BENEFITS,108,49806.8,1,Department for Work and Pensions
OPS OPE CI NATIONAL ACCOUNT MANAGER FRAUD,52,13027.7,1,Department for Work and Pensions
OPS OPE CI NATIONAL ACCOUNT MANAGER PENSIONS,61,19012.72,1,Department for Work and Pensions
OPS OPE CI NATIONAL ACCOUNT MANAGER WORK,69,22901.27,1,Department for Work and Pensions
OPS OPE CMG FAMILY STABILITY PORTFOLIO,131,845390.9,1,Department for Work and Pensions
OPS OPE CMG PORTFOLIO,19,4617.47,1,Department for Work and Pensions
OPS OPE CMG RELATIONSHIP SUPPORT,132,15653216.0,1,Department for Work and Pensions
OPS OPE CMG SERVICE DESIGN,478,209921.81,1,Department for Work and Pensions
OPS OPE CO CLIENT & PROCESS ASSURANCE,154,84739.15,1,Department for Work and Pensions
OPS OPE CO EXTERNAL COMMS,5,424.0,1,Department for Work and Pensions
OPS OPE CO HEAD OF CENTRAL OPERATIONS,374,105896.32,1,Department for Work and Pensions
OPS OPE CO HHSQ SRO,3,148.0,1,Department for Work and Pensions
OPS OPE CO OCF,603,277322.11,1,Department for Work and Pensions
OPS OPE CO OPERATIONAL INSTRUCTIONS & IDEAS,3,123.0,1,Department for Work and Pensions
OPS OPE CO QUALITY & FAILURE DEMAND,489,718320.11,1,Department for Work and Pensions
OPS OPE CO SPECIAL PAYMENTS,16,103673.8,1,Department for Work and Pensions
OPS OPE CO SPEECH ANALYTICS,3,2804.0,1,Department for Work and Pensions
OPS OPE COMMUNITY 10K,154,17551.86,1,Department for Work and Pensions
OPS OPE CONTRACT SERVICE MANAGEMENT,2,659.0,1,Department for Work and Pensions
OPS OPE COUNTER FRAUD & COMPLIANCE PORTFOLIO,35,4124.4,1,Department for Work and Pensions
OPS OPE COURIER,7,2538933.0,1,Department for Work and Pensions
OPS OPE CROSS-CUTTING CHANGE DESIGN,15,2509.0,1,Department for Work and Pensions
OPS OPE CUSTOMER EXPERIENCE & EXT COMMS,30,376540.78,1,Department for Work and Pensions
OPS OPE DDMS,447,5822376.0,1,Department for Work and Pensions
OPS OPE DIG ACCESS TO WORK,45,357947.0,1,Department for Work and Pensions
OPS OPE DIG DELTA,174,196028.0,1,Department for Work and Pensions
OPS OPE DIG DIGITAL DIRECTORS OFFICE,82,30047.0,1,Department for Work and Pensions
OPS OPE DIG ECHO,83,19550.0,1,Department for Work and Pensions
OPS OPE DIG GAMMA,116,69982.9,1,Department for Work and Pensions
OPS OPE DIG KAPPA,1,90.0,1,Department for Work and Pensions
OPS OPE DIG OMEGA,159,95271.0,1,Department for Work and Pensions
OPS OPE DIG SIGMA,169,89914.0,1,Department for Work and Pensions
OPS OPE DIGITAL EFFICIENCIES & CHANNELS,15,375488.0,1,Department for Work and Pensions
OPS OPE DIRECTORATE ASSURANCE & PLANNING,15,1107.0,1,Department for Work and Pensions
"OPS OPE DISABILITY, DISPUTES & PRODUCT INTELLIGENCE",22,16825.43,1,Department for Work and Pensions
OPS OPE EFFICIENCY PROGRAMME,18,4556.0,1,Department for Work and Pensions
OPS OPE ESA AND WORKING AGE HEALTH & WORK,19,4866.02,1,Department for Work and Pensions
OPS OPE ESTATES,22,1239.11,1,Department for Work and Pensions
OPS OPE ESTATES BASELINE,76,349325127.76,1,Department for Work and Pensions
OPS OPE ESTATES DISPOSALS,3,22.0,1,Department for Work and Pensions
OPS OPE ESTATES RECESSION,45,18553432.97,1,Department for Work and Pensions
OPS OPE FEASBILITY,1,24595.0,1,Department for Work and Pensions
OPS OPE FEPS BRADFORD,22,4688.33,1,Department for Work and Pensions
OPS OPE FEPS ILFORD,429,274401.72,1,Department for Work and Pensions
OPS OPE FEPS KILMARNOCK,367,107788.48,1,Department for Work and Pensions
OPS OPE FEPS NEWCASTLE,361,123563.93,1,Department for Work and Pensions
OPS OPE FEPS NEWPORT,240,66989.39,1,Department for Work and Pensions
OPS OPE FEPS PEMBROKE DOCKS,254,90008.87,1,Department for Work and Pensions
OPS OPE FEPS RAMSGATE,347,151538.72,1,Department for Work and Pensions
OPS OPE FEPS TAUNTON,159,54250.07,1,Department for Work and Pensions
OPS OPE FES BUSINESS MANAGEMENT & GOVERNANCE,163,83573.0,1,Department for Work and Pensions
OPS OPE FES BUSINESS MANAGEMENT & STRATEGY (BMS),122,45269.0,1,Department for Work and Pensions
OPS OPE FES CCIIS - FIU,369,130477.8,1,Department for Work and Pensions
OPS OPE FES CCIIS DCMU,19,984.0,1,Department for Work and Pensions
OPS OPE FES CCIIS GROUP MANAGER - RER,111,16210.01,1,Department for Work and Pensions
OPS OPE FES CCIIS INTEL CENTRAL,312,74690.4,1,Department for Work and Pensions
OPS OPE FES CCIIS INTEL NATIONAL FUNCTIONS,77,51293.9,1,Department for Work and Pensions
OPS OPE FES CCIIS INTEL NORTH,327,82495.93,1,Department for Work and Pensions
OPS OPE FES CCIIS INTEL SOUTH,347,132488.29,1,Department for Work and Pensions
OPS OPE FES CCIIS INVESTIGATIONS - CENTRAL AND WALES,389,439959.82,1,Department for Work and Pensions
"OPS OPE FES CCIIS INVESTIGATIONS - LONDON & HC, SOUTHERN",266,167096.29,1,Department for Work and Pensions
OPS OPE FES CCIIS INVESTIGATIONS - NE NW AND SCOTLAND,390,405713.99,1,Department for Work and Pensions
OPS OPE FES CCIIS NATIONAL FUNCTIONS,135,33786.0,1,Department for Work and Pensions
"OPS OPE FES CCIIS RER NDU, CENTRAL & LONDON",194,58099.8,1,Department for Work and Pensions
OPS OPE FES CCIIS RER NORTH,353,166780.97,1,Department for Work and Pensions
OPS OPE FES CCIIS RER SOUTH,153,44868.89,1,Department for Work and Pensions
OPS OPE FES CCIIS RER WALES & SOUTHERN,192,40295.0,1,Department for Work and Pensions
OPS OPE FES CCIS - FIU,170,67550.0,1,Department for Work and Pensions
OPS OPE FES CCIS CENTRAL AND WALES,152,247021.0,1,Department for Work and Pensions
OPS OPE FES CCIS LONDON AND HC SOUTHERN,123,62447.0,1,Department for Work and Pensions
OPS OPE FES CCIS NE NW AND SCOTLAND,142,159839.0,1,Department for Work and Pensions
OPS OPE FES CENTRAL AUTHORISATION BUREAU,133,25858.5,1,Department for Work and Pensions
OPS OPE FES COVERT AUTHORITIES BUREAU,98,14597.8,1,Department for Work and Pensions
OPS OPE FES DIRECTOR OF OPERATIONS,328,103235.9,1,Department for Work and Pensions
OPS OPE FES DISCRETE BUDGET CONTROL,183,3137973.53,1,Department for Work and Pensions
OPS OPE FES FEEDBACK & PREVENTION PROJECT,101,13007.6,1,Department for Work and Pensions
OPS OPE FES FRAUD AND SECURITY L AND D TEAM,66,43856.0,1,Department for Work and Pensions
OPS OPE FES GROUP MANAGER - CCIIS INTELLIGENCE,232,116818.53,1,Department for Work and Pensions
OPS OPE FES GROUP MANAGER - CCIIS INVESTIGATIONS,121,203629.19,1,Department for Work and Pensions
OPS OPE FES GROUP MANAGER - CCIS,44,5050.0,1,Department for Work and Pensions
OPS OPE FES GROUP MANAGER - INTELLIGENCE,107,24577.0,1,Department for Work and Pensions
OPS OPE FES HEAD OF CCIIS,61,6354.0,1,Department for Work and Pensions
OPS OPE FES HEAD OF FEPS,70,35825.6,1,Department for Work and Pensions
OPS OPE FES HEAD OF LOCAL SERVICE,141,45126.0,1,Department for Work and Pensions
OPS OPE FES HEAD OF LOCAL SERVICE - NORTH,151,39575.95,1,Department for Work and Pensions
OPS OPE FES HEAD OF LOCAL SERVICE - SOUTH,191,47974.57,1,Department for Work and Pensions
OPS OPE FES INTEL NATIONAL FUNCTIONS,150,82796.0,1,Department for Work and Pensions
OPS OPE FES INTEL OPERATIONS NORTH,156,40174.0,1,Department for Work and Pensions
OPS OPE FES INTEL OPERATIONS SOUTH,143,40384.0,1,Department for Work and Pensions
OPS OPE FES OMAT & BUSINESS MANAGEMENT,214,95143.84,1,Department for Work and Pensions
OPS OPE FES PROJECT,199,34306.3,1,Department for Work and Pensions
OPS OPE FES PROJECT 2,40,5964.0,1,Department for Work and Pensions
"OPS OPE FES STRATEGIC, OPS & CAMPAIGN CENTRE (SOCC)",255,78849.13,1,Department for Work and Pensions
OPS OPE FES SURVEILLANCE TEAM - CCIIS INVESTIGATIONS,54,105342.0,1,Department for Work and Pensions
OPS OPE FESLS ADMIN SUPPORT CENTRAL,120,14859.0,1,Department for Work and Pensions
OPS OPE FESLS ADMIN SUPPORT SOUTHERN,95,10571.0,1,Department for Work and Pensions
"OPS OPE FESLS AVON, SEVERN & THAMES",317,73383.86,1,Department for Work and Pensions
OPS OPE FESLS BEDFORDSHIRE & HERTFORDSHIRE,276,42932.11,1,Department for Work and Pensions
"OPS OPE FESLS BERKSHIRE, SURREY & SUSSEX",353,89677.01,1,Department for Work and Pensions
OPS OPE FESLS BIRMINGHAM AND SOLIHULL,220,31910.87,1,Department for Work and Pensions
OPS OPE FESLS BLACK COUNTRY,188,28221.94,1,Department for Work and Pensions
OPS OPE FESLS CENTRAL ADMIN SUPPORT,370,42940.3,1,Department for Work and Pensions
OPS OPE FESLS CENTRAL SCOTLAND DISTRICT,101,26783.0,1,Department for Work and Pensions
OPS OPE FESLS COMP BEDFORDSHIRE & HERTFORDSHIRE,103,13344.6,1,Department for Work and Pensions
OPS OPE FESLS COMP BIRMINGHAM & SOLIHULL,26,1619.0,1,Department for Work and Pensions
OPS OPE FESLS COMP BLACK COUNTRY,28,2663.0,1,Department for Work and Pensions
"OPS OPE FESLS COMP DEVON, CORNWALL & SOMERSET",55,5301.0,1,Department for Work and Pensions
OPS OPE FESLS COMP DURHAM & TEES VALLEY,39,3234.0,1,Department for Work and Pensions
OPS OPE FESLS COMP EAST & SOUTH EAST SCOTLAND,41,8034.0,1,Department for Work and Pensions
